date,home_team,away_team,winner,first_shooter
2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand
2024-03-26,Wales,Poland,Poland,Poland
2024-03-26,Georgia,Greece,Georgia,Georgia
2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands
2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands
2024-06-11,Lithuania,Estonia,Estonia,Lithuania
2024-07-01,Portugal,Slovenia,Portugal,Slovenia
2024-07-04,Argentina,Ecuador,Argentina,Argentina
2024-07-05,Portugal,France,France,France
2024-07-05,Venezuela,Canada,Canada,Venezuela
2024-07-06,England,Switzerland,England,England
2024-07-06,Uruguay,Brazil,Uruguay,Uruguay
2024-07-13,Canada,Uruguay,Uruguay,Canada
2024-09-08,Tajikistan,Philippines,Tajikistan,
2024-09-10,Cambodia,Sri Lanka,Sri Lanka,Cambodia
2025-06-08,Portugal,Spain,Portugal,Portugal
2025-06-28,Panama,Honduras,Honduras,Panama
2025-06-29,Canada,Guatemala,Guatemala,Canada
2025-06-29,United States,Costa Rica,United States,Costa Rica
2025-07-13,Gozo,Shetland,Gozo,Gozo
2025-07-17,Gozo,Western Isles,Gozo,
2025-08-13,United States Virgin Islands,Turks and Caicos Islands,United States Virgin Islands,
2025-11-13,Iran,Cape Verde,Iran,
2025-11-16,Nigeria,DR Congo,DR Congo,Nigeria
2025-11-17,Cape Verde,Egypt,Egypt,
2025-11-18,Iran,Uzbekistan,Uzbekistan,
2025-11-23,Papua New Guinea,Vanuatu,Vanuatu,
2025-11-25,Palestine,Libya,Palestine,
2025-11-26,Oman,Somalia,Oman,
2025-11-26,Comoros,Yemen,Comoros,
2025-12-12,Algeria,United Arab Emirates,United Arab Emirates,
2026-01-03,Mali,Tunisia,Mali,Tunisia
2026-01-14,Morocco,Nigeria,Morocco,Morocco
2026-01-17,Egypt,Nigeria,Nigeria,Nigeria
2026-03-26,Wales,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
2026-03-26,Czech Republic,Republic of Ireland,Czech Republic,Republic of Ireland
2026-03-27,Kenya,Estonia,Estonia,Estonia
2026-03-28,Namibia,Comoros,Namibia,
2026-03-30,Azerbaijan,Sierra Leone,Azerbaijan,
2026-03-30,Cape Verde,Finland,Cape Verde,Cape Verde
2026-03-30,Gabon,Trinidad and Tobago,Gabon,
2026-03-30,Uzbekistan,Venezuela,Uzbekistan,
2026-03-31,Bosnia and Herzegovina,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina
2026-03-31,Czech Republic,Denmark,Czech Republic,Denmark
